open,high,low,close,volume,datetime
1122.14001,1127.01001,1102.06006,1108.19995,0,2004-10-11 05:00:00
1108.19995,1117.95996,1094.25,1095.73999,0,2004-10-18 05:00:00
1095.73999,1131.40002,1090.29004,1130.19995,0,2004-10-25 05:00:00
1130.19995,1170.87,1127.59998,1166.17004,0,2004-11-01 06:00:00
1166.17004,1184.17004,1162.31995,1184.17004,0,2004-11-08 06:00:00
1184.17004,1188.45996,1169.18994,1170.33997,0,2004-11-15 06:00:00
1170.33997,1186.62,1167.89001,1182.65002,0,2004-11-22 06:00:00
1182.65002,1197.45996,1172.37,1191.17004,0,2004-11-29 06:00:00
1191.17004,1192.41003,1173.79004,1188.0,0,2004-12-06 06:00:00
1188.0,1207.96997,1188.0,1194.19995,0,2004-12-13 06:00:00
1194.19995,1213.66003,1193.35999,1210.13,0,2004-12-20 06:00:00
1210.13,1217.32996,1204.92004,1211.92004,0,2004-12-27 06:00:00
1211.92004,1217.80005,1182.16003,1186.18994,0,2005-01-03 06:00:00
1186.18994,1194.78003,1175.64001,1184.52002,0,2005-01-10 06:00:00
1184.52002,1195.97998,1167.81995,1167.87,0,2005-01-17 06:00:00
1167.87,1177.5,1163.75,1171.35999,0,2005-01-24 06:00:00
1171.35999,1203.46997,1171.35999,1203.03003,0,2005-01-31 06:00:00
1203.03003,1208.38,1191.54004,1205.30005,0,2005-02-07 06:00:00
1205.30005,1212.43994,1197.34998,1201.58997,0,2005-02-14 06:00:00
1201.58997,1212.15002,1184.16003,1211.37,0,2005-02-21 06:00:00
1211.37,1224.76001,1198.13,1222.12,0,2005-02-28 06:00:00
1222.12,1229.10999,1198.15002,1200.07996,0,2005-03-07 06:00:00
1200.07996,1210.54004,1182.78003,1189.65002,0,2005-03-14 06:00:00
1189.65002,1189.65002,1168.69995,1171.42004,0,2005-03-21 06:00:00
1171.42004,1189.80005,1163.68994,1172.92004,0,2005-03-28 06:00:00
1172.79004,1191.88,1167.71997,1181.19995,0,2005-04-04 05:00:00
1181.19995,1190.17004,1141.92004,1142.62,0,2005-04-11 05:00:00
1142.62,1159.94995,1136.15002,1152.12,0,2005-04-18 05:00:00
1152.12,1164.80005,1139.18994,1156.84998,0,2005-04-25 05:00:00
1156.84998,1178.62,1154.70996,1171.34998,0,2005-05-02 05:00:00
1171.34998,1178.87,1146.18005,1154.05005,0,2005-05-09 05:00:00
1154.05005,1191.21997,1153.64001,1189.28003,0,2005-05-16 05:00:00
1189.28003,1199.56006,1185.95996,1198.78003,0,2005-05-23 05:00:00
1198.78003,1205.64001,1191.03003,1196.02002,0,2005-05-30 05:00:00
1196.02002,1208.84998,1191.08997,1198.10999,0,2005-06-06 05:00:00
1198.10999,1219.55005,1194.51001,1216.95996,0,2005-06-13 05:00:00
1216.95996,1219.58997,1191.44995,1191.56995,0,2005-06-20 05:00:00
1191.56995,1204.06995,1188.30005,1194.43994,0,2005-06-27 05:00:00
1194.43994,1212.72998,1183.55005,1211.85999,0,2005-07-04 05:00:00
1211.85999,1233.16003,1211.85999,1227.92004,0,2005-07-11 05:00:00
1227.92004,1236.56006,1221.13,1233.68005,0,2005-07-18 05:00:00
1233.68005,1245.15002,1228.15002,1234.18005,0,2005-07-25 05:00:00
1234.18005,1245.85999,1225.62,1226.42004,0,2005-08-01 05:00:00
1226.42004,1242.68994,1222.67004,1230.39001,0,2005-08-08 05:00:00
1230.40002,1236.23999,1215.93005,1219.70996,0,2005-08-15 05:00:00
1219.70996,1228.95996,1204.22998,1205.09998,0,2005-08-22 05:00:00
1205.09998,1227.29004,1201.06995,1218.02002,0,2005-08-29 05:00:00
1218.02002,1243.13,1218.02002,1241.47998,0,2005-09-05 05:00:00
1241.47998,1242.59998,1224.84998,1237.91003,0,2005-09-12 05:00:00
1237.91003,1237.91003,1205.34998,1215.29004,0,2005-09-19 05:00:00
1215.29004,1229.56995,1211.10999,1228.81006,0,2005-09-26 05:00:00
1228.81006,1233.33997,1181.92004,1195.90002,0,2005-10-03 05:00:00
1195.90002,1196.52002,1168.19995,1186.56995,0,2005-10-10 05:00:00
1186.56995,1197.30005,1170.55005,1179.58997,0,2005-10-17 05:00:00
1179.58997,1204.01001,1178.89001,1198.41003,0,2005-10-24 05:00:00
1198.41003,1224.69995,1198.41003,1220.14001,0,2005-10-31 06:00:00
1220.14001,1235.69995,1215.05005,1234.71997,0,2005-11-07 06:00:00
1234.71997,1249.57996,1226.41003,1248.27002,0,2005-11-14 06:00:00
1248.27002,1270.64001,1246.90002,1268.25,0,2005-11-21 06:00:00
1268.25,1268.43994,1249.39001,1265.07996,0,2005-11-28 06:00:00
1265.07996,1272.89001,1250.91003,1259.37,0,2005-12-05 06:00:00
1259.37,1275.80005,1255.52002,1267.31995,0,2005-12-12 06:00:00
1267.31995,1270.51001,1257.20996,1268.66003,0,2005-12-19 06:00:00
1268.66003,1271.82996,1246.58997,1248.29004,0,2005-12-26 06:00:00
1248.29004,1286.08997,1245.73999,1285.44995,0,2006-01-02 06:00:00
1285.44995,1294.90002,1282.78003,1287.60999,0,2006-01-09 06:00:00
1287.60999,1287.79004,1260.92004,1261.48999,0,2006-01-16 06:00:00
1261.48999,1286.38,1259.42004,1283.71997,0,2006-01-23 06:00:00
1283.71997,1287.93994,1261.02002,1264.03003,0,2006-01-30 06:00:00
1264.03003,1274.56006,1253.60999,1266.98999,0,2006-02-06 06:00:00
1266.98999,1289.46997,1258.33997,1287.23999,0,2006-02-13 06:00:00
1287.23999,1294.17004,1281.32996,1289.43005,0,2006-02-20 06:00:00
1289.43005,1297.56995,1278.66003,1287.22998,0,2006-02-27 06:00:00
